utc,initiative,purpose,dev_plan_task,sap_path,odata_query,http_status,elapsed_s,result,rows_returned,has_next,note_or_sample
2026-09-25T18:07:02Z,I13,E1 zero-count set: does $top=1 return a row,W2.6/W6.2,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ReservationItemSet,$top=1&$format=json,200,0.1,1 row(s),1,yes,"{""Rsnum"": ""0000000001"", ""Rspos"": ""0001"", ""Xloek"": false, ""Kzear"": false, ""Matnr"": ""000000005000000001"", ""Werks"": ""1300"", ""Lgort"": """", ""Bdter"": ""26.04.2013"", ""Bdmng"": ""122.000"", ""Meins"": ""M"", ""Enmng"": ""             10.000"", ""Enwrt"": ""           11180.00"", ""Banfn"": """", ""Bnfpo"": ""00000"", ""Aufnr"": """", """
2026-09-25T18:07:02Z,I07,E1 zero-count set: does $top=1 return a row,W2.6,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/MaterialValuationSet,$top=1&$format=json,200,0.1,1 row(s),1,no,"{""Matnr"": ""000000000000000011"", ""Bwkey"": ""1500"", ""Lbkum"": ""0.000"", ""Salk3"": ""               0.00"", ""Vprsv"": ""V"", ""Verpr"": ""               1.00"", ""Stprs"": ""               0.00"", ""Peinh"": ""                  1"", ""Bklas"": ""4044"", ""Waers"": ""ZAR""}"
2026-09-25T18:07:02Z,I13,E1 zero-count set: does $top=1 return a row,W2.6/W3.5,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/MonthlyMovementStatisticSet,$top=1&$format=json,200,0.1,1 row(s),1,no,"{""Spmon"": ""201304"", ""Werks"": ""1100"", ""Matnr"": ""000000002000000000"", ""Lgort"": ""GORE"", ""Basme"": ""TO"", ""Mzubb"": ""             50.000"", ""Wzubb"": ""             200.00"", ""Magbb"": ""              0.000"", ""Wagbb"": ""               0.00"", ""Ambwg"": ""                  1"", ""Muvbr"": ""              0.000"", ""Wuvbr"":"
2026-09-25T18:07:02Z,ALL,B1 failing set: does $top=1 work where $count dumps,W2.3,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/PurchaseRequisitionSet,$top=1&$format=json,200,0.1,1 row(s),1,no,"{""Banfn"": ""0000000001"", ""Bnfpo"": ""00001"", ""Bsart"": ""ZMPX"", ""Loekz"": """", ""Statu"": ""N"", ""Frgkz"": """", ""Frgzu"": """", ""Ekgrp"": """", ""Ernam"": ""PKALWA"", ""Afnam"": ""10100"", ""Txz01"": ""Copper Sulphate Pentahydrate (25kg Bag)"", ""Matnr"": ""000000000016245031"", ""Werks"": ""1500"", ""Lgort"": """", ""Bednr"": """", ""Matkl"": ""PR"
2026-09-25T18:07:02Z,ALL,B1 failing set: does $top=1 work where $count dumps,W2.3,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/GoodsMovementItemSet,$top=1&$format=json,200,0.4,1 row(s),1,no,"{""Mblnr"": ""4900000000"", ""Mjahr"": ""2013"", ""Zeile"": ""0001"", ""Bwart"": ""201"", ""Matnr"": ""000000005000000001"", ""Werks"": ""1300"", ""Lgort"": ""BMWH"", ""Sobkz"": """", ""Lifnr"": """", ""Shkzg"": ""H"", ""Dmbtr"": ""            1083.00"", ""Menge"": ""              1.000"", ""Meins"": ""M"", ""Ebeln"": """", ""Ebelp"": ""00000"", ""Sgtxt"": """","
2026-09-25T18:07:03Z,ALL,B1 failing set: total via $inlinecount=allpages,W2.3,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/PurchaseRequisitionSet,$inlinecount=allpages&$top=1&$format=json,200,0.1,"1 row(s), __count=1569",1,no,"{""Banfn"": ""0000000001"", ""Bnfpo"": ""00001"", ""Bsart"": ""ZMPX"", ""Loekz"": """", ""Statu"": ""N"", ""Frgkz"": """", ""Frgzu"": """", ""Ekgrp"": """", ""Ernam"": ""PKALWA"", ""Afnam"": ""10100"", ""Txz01"": ""Copper Sulphate Pentahydrate (25kg Bag)"", ""Matnr"": ""000000000016245031"", ""Werks"": ""1500"", ""Lgort"": """", ""Bednr"": """", ""Matkl"": ""PR"
2026-09-25T18:07:03Z,ALL,B1 failing set: total via $inlinecount=allpages,W2.3,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/GoodsMovementItemSet,$inlinecount=allpages&$top=1&$format=json,200,0.4,"1 row(s), __count=68618",1,no,"{""Mblnr"": ""4900000000"", ""Mjahr"": ""2013"", ""Zeile"": ""0001"", ""Bwart"": ""201"", ""Matnr"": ""000000005000000001"", ""Werks"": ""1300"", ""Lgort"": ""BMWH"", ""Sobkz"": """", ""Lifnr"": """", ""Shkzg"": ""H"", ""Dmbtr"": ""            1083.00"", ""Menge"": ""              1.000"", ""Meins"": ""M"", ""Ebeln"": """", ""Ebelp"": ""00000"", ""Sgtxt"": """","
2026-09-25T18:07:07Z,ALL,Paging: first page,W2.3/W3.2,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet,$top=5&$format=json,200,4.0,5 row(s),5,no,"{""Objectclas"": ""/BST1/AP_MAST"", ""Objectid"": ""/BST1/CLNT_BSR"", ""Changenr"": ""0000269803"", ""Tabname"": ""/BST1/CLNT_BSR"", ""Tabkey"": ""   110ZID"", ""Fname"": ""KEY"", ""Chngind"": ""I"", ""Value_new"": """", ""Value_old"": """"}"
2026-09-25T18:07:11Z,ALL,"Paging: second page, rows must differ from first",W2.3/W3.2,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet,$top=5&$skip=5&$format=json,200,3.9,5 row(s),5,no,overlap with first page = 0 of 5 (skip honoured)
2026-09-25T18:07:15Z,ALL,Paging: inline count and __next presence,W2.3/W3.2,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet,$inlinecount=allpages&$top=1&$format=json,200,3.8,"1 row(s), __count=940070",1,no,"{""Objectclas"": ""/BST1/AP_MAST"", ""Objectid"": ""/BST1/CLNT_BSR"", ""Changenr"": ""0000269803"", ""Tabname"": ""/BST1/CLNT_BSR"", ""Tabkey"": ""   110ZID"", ""Fname"": ""KEY"", ""Chngind"": ""I"", ""Value_new"": """", ""Value_old"": """"}"
2026-09-25T18:07:15Z,ALL,Paging: large set page-until-short-page viability,W2.3/W3.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialDocumentHeaderSet,$top=1000&$skip=40000&$format=json,200,0.2,651 row(s),651,no,"{""Mblnr"": ""5000011319"", ""Mjahr"": ""2018"", ""Budat"": ""/Date(1520978400000)/"", ""Cpudt"": ""/Date(1520978400000)/"", ""Xblnr"": """"}"
